,mpg,cylinders,displacement,horsepower,weight,acceleration,year
0,0.52,1.0,1.0,1.0,0.99,0.76,1970
1,0.62,0.83,0.76,0.72,0.89,0.88,1971
2,0.55,0.86,0.78,0.81,0.95,0.89,1972
3,0.51,0.94,0.91,0.88,1.0,0.84,1973
4,0.67,0.77,0.61,0.64,0.84,0.95,1974
5,0.6,0.83,0.73,0.68,0.93,0.94,1975
6,0.64,0.84,0.7,0.68,0.9,0.94,1976
7,0.69,0.81,0.68,0.71,0.88,0.91,1977
8,0.71,0.79,0.63,0.67,0.84,0.93,1978
9,0.74,0.86,0.73,0.68,0.89,0.93,1979
10,1.0,0.61,0.41,0.52,0.71,1.0,1980
11,0.89,0.69,0.49,0.55,0.74,0.96,1981
12,0.95,0.62,0.46,0.55,0.71,0.97,1982
